LineID,Filename,Transcription,Sex,Dialect,Articulation Rate,Duration,Tokens,Characters
EN1223,wef_12484_01482829612,The sun provides energy,f,Welsh English,5.415029469548133,1.4773696145124717,4,23
BI0113,wef_12484_01345932698,Zoe invited you to an event,f,Welsh English,5.2734375,1.7066666666666668,6,27
EN0971,wef_12484_00999757777,This is the cinematic superhero showdown you've dreamt of since childhood,f,Welsh English,3.8964843749999996,4.876190476190477,12,73
EN0026,wef_12484_00036278823,That quick beige fox jumped in the air over each thin dog,f,Welsh English,3.2415574596774195,4.31891156462585,12,57
EN1472,wef_12484_00458512623,The song was accompanied by two music videos which both premiered in February 2016,f,Welsh English,4.135813543841336,5.561179138321996,14,82
EN0005,wef_12484_00445516961,People look but no one ever finds it,f,Welsh English,3.9250395569620253,2.29297052154195,8,36
EN1147,wef_12484_00262279005,The prints sharply contrast agricultural labours and courtly urban diversions,f,Welsh English,3.8180244063324538,5.500226757369615,10,77
EN0002,wef_12484_00495324118,The rainbow is a division of white light into many beautiful colours,f,Welsh English,5.625,3.5555555555555554,12,68
EN1324,wef_12484_01838258949,One of the evidenced passages is referenced when the witches involved in the trial confessed to attempt the use of witchcraft,f,Welsh English,4.671610169491525,7.706122448979592,21,125
EN0223,wef_12484_01703308889,At least one root language is required,f,Welsh English,4.893909801136363,2.043356009070295,7,38
EN0014,wef_12484_00407944176,Since then physicists have found that it is not reflection but refraction by the raindrops which causes the rainbows,f,Welsh English,3.4403976462196857,8.13859410430839,19,116
EN0887,wef_12484_00389649122,The Brunei gallery hosts a programme of changing contemporary and historical exhibitions from Asia Africa and the Middle East,f,Welsh English,4.5316943654461435,8.164716553287981,19,125
EN0038,wef_12484_01518530037,Statistical conclusion validity involves ensuring the use of adequate sampling procedures appropriate statistical tests and reliable measurement procedures,f,Welsh English,4.285436641616999,11.200725623582766,18,155
EN0307,wef_12484_00064152494,i have a feeling we'll be talking about this for generations to come,f,Welsh English,5.253686797752809,3.6165079365079364,14,68
EN0007,wef_12484_01289814182,Throughout the centuries people have explained the rainbow in various ways,f,Welsh English,4.638416230366492,3.8806349206349204,11,74
EN0035,wef_12484_00263357569,This theory has implications for spatial illusions such as the visual angle illusion,f,Welsh English,3.4816426845342705,6.606077097505669,13,84
EN0042,wef_12484_01407056263,With all three components in place every village in Africa could enjoy its fair share of the blessings of civilization,f,Welsh English,4.787171052631579,6.893424036281179,20,118
EN0152,wef_12484_01613879951,You can breathe now,f,Welsh English,4.578488372093023,0.8736507936507937,4,19
EN0036,wef_12484_01739883713,Direct actions employ specialized military capabilities to seize destroy capture exploit recover or damage designated targets,f,Welsh English,4.252126186708861,9.1718820861678,16,125
EN1491,wef_12484_00329206949,Not the same thing a bit,f,Welsh English,4.126122754491018,1.4541496598639456,6,24
