LineID,Filename,Transcription,Sex,Dialect,Duration,Tokens,Characters
EN1223,wef_12484_01482829612,The sun provides energy,f,Welsh English,4.778666666666667,4,23
BI0113,wef_12484_01345932698,Zoe invited you to an event,f,Welsh English,4.778666666666667,6,27
EN0971,wef_12484_00999757777,This is the cinematic superhero showdown you've dreamt of since childhood,f,Welsh English,7.594666666666667,12,73
EN0026,wef_12484_00036278823,That quick beige fox jumped in the air over each thin dog,f,Welsh English,9.813333333333333,12,57
EN1472,wef_12484_00458512623,The song was accompanied by two music videos which both premiered in February 2016,f,Welsh English,9.386666666666667,14,82
EN0005,wef_12484_00445516961,People look but no one ever finds it,f,Welsh English,6.570666666666667,8,36
EN1147,wef_12484_00262279005,The prints sharply contrast agricultural labours and courtly urban diversions,f,Welsh English,8.448,10,77
EN0002,wef_12484_00495324118,The rainbow is a division of white light into many beautiful colours,f,Welsh English,7.082666666666666,12,68
EN1324,wef_12484_01838258949,One of the evidenced passages is referenced when the witches involved in the trial confessed to attempt the use of witchcraft,f,Welsh English,11.008,21,125
EN0223,wef_12484_01703308889,At least one root language is required,f,Welsh English,6.4,7,38
EN0014,wef_12484_00407944176,Since then physicists have found that it is not reflection but refraction by the raindrops which causes the rainbows,f,Welsh English,10.922666666666666,19,116
EN0887,wef_12484_00389649122,The Brunei gallery hosts a programme of changing contemporary and historical exhibitions from Asia Africa and the Middle East,f,Welsh English,11.690666666666667,19,125
EN0038,wef_12484_01518530037,Statistical conclusion validity involves ensuring the use of adequate sampling procedures appropriate statistical tests and reliable measurement procedures,f,Welsh English,14.677333333333333,18,155
EN0307,wef_12484_00064152494,i have a feeling we'll be talking about this for generations to come,f,Welsh English,8.192,14,68
EN0007,wef_12484_01289814182,Throughout the centuries people have explained the rainbow in various ways,f,Welsh English,6.144,11,74
EN0035,wef_12484_00263357569,This theory has implications for spatial illusions such as the visual angle illusion,f,Welsh English,10.496,13,84
EN0042,wef_12484_01407056263,With all three components in place every village in Africa could enjoy its fair share of the blessings of civilization,f,Welsh English,12.117333333333333,20,118
EN0152,wef_12484_01613879951,You can breathe now,f,Welsh English,5.546666666666667,4,19
EN0036,wef_12484_01739883713,Direct actions employ specialized military capabilities to seize destroy capture exploit recover or damage designated targets,f,Welsh English,13.738666666666667,16,125
EN1491,wef_12484_00329206949,Not the same thing a bit,f,Welsh English,5.717333333333333,6,24
EN1378,wef_12484_01204827667,Discussions with British Linen came to naught but then Lloyds Bank approached the Commercial,f,Welsh English,9.984,14,92
